Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Regular,Regular,Ruins,Não sei,Prefiro não responder,Prefiro não responder,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Boa,Ruins,Bom,Bom,Bom,Regulares
Docente,Carmo de Minas,,,Concordo,Concordo,Concordo,Regular,Boa,Bons/Boas,Regular,Regular,Ruim,Boas
Docente,Passos,,,Concordo,Não concordo nem discordo,Discordo,Muito Bom/Boa,Regular,Bons/Boas,Bom,Bom,Regular,Regulares
Docente,Pouso Alegre,,,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder
TAE,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Não sei responder,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Passos,,,Concordo,Não concordo nem discordo,Discordo,Regular,Boa,Regulares,Ruim,Ruim,Ruim,Regulares
Docente,Machado,,,Discordo,Discordo,Discordo,Bom/Boa,Ruim,Regulares,Regular,Não sei,Não sei,Regulares
TAE,Pouso Alegre,,,Concordo plenamente,Discordo,Não concordo nem discordo,Regular,Boa,Regulares,Bom,Bom,Prefiro não responder,Não sei responder
TAE,Muzambinho,,,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Não sei responder,Regulares,Muito bom,Muito bom,Muito bom,Regulares
Docente,Passos,,,Concordo,Concordo,Discordo,Muito Bom/Boa,Prefiro não responder,Ruins,Prefiro não responder,Muito bom,Regular,Regulares
Docente,Passos,,,"Não concordo, nem discordo",Concordo plenamente,Concordo,Bom/Boa,Prefiro não responder,Muito Bons/Boas,Bom,Bom,Regular,Ruins
TAE,Muzambinho,,,Concordo plenamente,Não concordo nem discordo,Concordo,Não sei responder,Não sei responder,Regulares,Muito bom,Muito bom,Bom,Boas
TAE,Muzambinho,,,Concordo,Não sei responder,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Docente,Muzambinho,,,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Não sei responder,Bons/Boas,Bom,Não sei,Não sei,Não sei responder
TAE,Passos,,,Concordo,Discordo,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Docente,Inconfidentes,,,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Não sei,Regulares
TAE,Muzambinho,,,Concordo,Discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
TAE,Pouso Alegre,,,Concordo,Não concordo nem discordo,Concordo,Regular,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Docente,Machado,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Prefiro não responder,Muito bom,Bom,Bom,Boas
Docente,Pouso Alegre,,,Concordo,Discordo,Discordo,Muito ruim,Ruim,Regulares,Ruim,Regular,Muito ruim,Ruins
Docente,Muzambinho,,,Concordo plenamente,Concordo,Concordo,Regular,Muito boa,Regulares,Muito bom,Muito bom,Muito bom,Boas
TAE,Passos,,,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Muito bom,Bom,Boas
TAE,Machado,,,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Regular,Boas
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Recursos Humanos - EaD | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Não sei responder,Não sei,Não sei,Não sei,Boas
TAE,Carmo de Minas,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Boas
TAE,Pouso Alegre,,,"Não concordo, nem discordo",Discordo plenamente,Concordo plenamente,Bom/Boa,Não sei responder,Regulares,Bom,Bom,Regular,Ruins
TAE,Passos,,,Discordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Ruim,Regulares
Discente do Superior,Machado,4°,Bacharelado Zootecnia,Discordo,Discordo,Discordo,Bom/Boa,Regular,Regulares,Regular,Regular,Regular,Regulares
Docente,Muzambinho,,,Concordo plenamente,Não concordo nem discordo,Discordo,Ruim,Não sei responder,Muito ruins,Regular,Regular,Bom,Regulares
Docente,Carmo de Minas,,,Concordo,Concordo,Concordo,Bom/Boa,Não sei responder,Bons/Boas,Regular,Bom,Regular,Regulares
TAE,Machado,,,Concordo,Não concordo nem discordo,Concordo,Prefiro não responder,Não sei responder,Prefiro não responder,Bom,Bom,Prefiro não responder,Boas
Docente,Inconfidentes,,,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Muito ruim,Não sei responder,Regulares,Bom,Muito bom,Bom,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Discordo,Regular,Muito boa,Muito Bons/Boas,Regular,Bom,Regular,Boas
Docente,Muzambinho,,,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Pouso Alegre,2°,Técnico em Química | Subsequente,Concordo,Discordo,Não concordo nem discordo,Muito ruim,Regular,Muito ruins,Regular,Bom,Regular,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Discordo,Não sei responder,Ruim,Regular,Ruins,Regular,Regular,Muito ruim,Ruins
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,"Não concordo, nem discordo",Não concordo nem discordo,Concordo,Muito Bom/Boa,Não sei responder,Não sei responder,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
TAE,Três Corações,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Docente,Carmo de Minas,,,Concordo,Concordo,Concordo,Muito Bom/Boa,Regular,Não se aplica,Regular,Bom,Ruim,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Informática - Presencial | Integrado,Concordo,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Bom,Muito bom,Boas
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Regular,Regulares
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Informática - Presencial | Integrado,Discordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Muito bom,Muito bom,Muito boas
Docente,Três Corações,,,"Não concordo, nem discordo",Discordo,Discordo,Ruim,Não sei responder,Regulares,Muito ruim,Regular,Ruim,Não sei responder
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Discordo,Bom/Boa,Regular,Regulares,Bom,Bom,Bom,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Informática - Presencial | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Não se aplica,Bons/Boas,Regular,Bom,Bom,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Informática - Presencial | Integrado,Concordo plenamente,Concordo plenamente,Concordo,Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Machado,10°,Bacharelado Zootecnia,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Ruim,Bons/Boas,Ruim,Não sei,Não sei,Não sei responder
Docente,Muzambinho,,,Concordo,Concordo,Concordo,Regular,Ruim,Regulares,Bom,Regular,Bom,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Informática - Presencial | Integrado,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Bom,Bom,Muito boas
Docente,Passos,,,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Muzambinho,,,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Carmo de Minas,1°,Técnico em Informática - Presencial | Integrado,Concordo,Não sei responder,Não sei responder,Bom/Boa,Boa,Muito Bons/Boas,Bom,Não sei,Não sei,Boas
Docente,Passos,,,Concordo,Não concordo nem discordo,Discordo,Bom/Boa,Boa,Muito Bons/Boas,Regular,Bom,Ruim,Boas
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Três Corações,,,Concordo,Concordo plenamente,Concordo,Bom/Boa,Não se aplica,Bons/Boas,Bom,Bom,Bom,Muito boas
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Bom,Não sei,Ruim,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Bom,Muito ruim,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Informática - Presencial | Integrado,Discordo plenamente,Concordo,Concordo,Regular,Regular,Regulares,Regular,Regular,Ruim,Regulares
Discente do Superior,Pouso Alegre,8°,Licenciatura Química,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Docente,Muzambinho,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Ruins,Bom,Bom,Regular,Regulares
Docente,Passos,,,"Não concordo, nem discordo",Discordo,Discordo,Muito Bom/Boa,Boa,Regulares,Bom,Não sei,Não sei,Boas
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Machado,8°,Bacharelado Zootecnia,Não sei responder,Não concordo nem discordo,Não concordo nem discordo,Regular,Ruim,Bons/Boas,Bom,Bom,Bom,Regulares
TAE,Passos,,,Concordo plenamente,Concordo,Concordo,Não sei responder,Não sei responder,Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Superior,Passos,4°,Tecnologia Produção Publicitária,Discordo plenamente,Não concordo nem discordo,Não sei responder,Bom/Boa,Boa,Não sei responder,Regular,Regular,Ruim,Regulares
Docente,Muzambinho,,,Concordo plenamente,Discordo,Discordo,Muito ruim,Regular,Bons/Boas,Regular,Bom,Bom,Regulares
Discente do Técnico,Passos,2°  ,Técnico em Produção de Moda | Integrado,Discordo,Concordo,Não concordo nem discordo,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Regular,Ruins
Discente do Técnico,Pouso Alegre,2°,Técnico em Edificações | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Regular,Muito boa,Ruins,Regular,Regular,Muito bom,Boas
Docente,Inconfidentes,,,Concordo plenamente,Concordo,Concordo,Regular,Regular,Regulares,Regular,Regular,Bom,Boas
Discente do Técnico,Passos,3°  ,Técnico em Produção de Moda | Integrado,Concordo plenamente,Concordo plenamente,Discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Não sei,Boas
TAE,Carmo de Minas,,,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Regular,Bom,Regular,Boas
TAE,Passos,,,Concordo plenamente,Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Regular,Bom,Regular,Boas
Docente,Poços de Caldas,,,Concordo,Concordo,Concordo,Muito ruim,Prefiro não responder,Bons/Boas,Ruim,Bom,Bom,Regulares
Docente,Inconfidentes,,,Concordo,Concordo,Discordo,Regular,Ruim,Regulares,Bom,Ruim,Bom,Ruins
Discente do Superior,Machado,6°,Bacharelado Administração,Concordo,Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Regulares,Não sei,Não sei,Não sei,Regulares
Discente do Superior,Machado,6°,Licenciatura Ciências Biológicas,Não sei responder,Discordo plenamente,Prefiro não responder,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Muito bom,Muito bom,Regulares
Discente do Superior,Pouso Alegre,2°,Bacharelado Engenharia Civil,Concordo plenamente,Não concordo nem discordo,Concordo plenamente,Bom/Boa,Regular,Regulares,Regular,Muito bom,Ruim,Regulares
Discente do Técnico,Passos,1°  ,Técnico em Comunicação Visual (nova nomenclatura a partir de 2023: Design Gráfico) | Integrado,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Não sei,Não sei,Muito ruim,Ruins
Docente,Muzambinho,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Bom,Boas
Discente do Técnico,Carmo de Minas,3°,Técnico em Recursos Humanos - EaD | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Muzambinho,4°,Técnico em Meio Ambiente - EaD | Subsequente,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Regulares
Docente,Muzambinho,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Regulares
Docente,Passos,,,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Regular,Muito ruim,Bons/Boas,Regular,Bom,Regular,Regulares
Docente,Machado,,,Concordo,Discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Docente,Passos,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Não sei,Boas
Discente do Técnico,Carmo de Minas,2°,Técnico em Recursos Humanos - EaD | Subsequente,Concordo,Concordo,Concordo,Não sei responder,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Boas
Discente do Técnico,Carmo de Minas,2°,Técnico em Recursos Humanos - EaD | Subsequente,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Não se aplica,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Docente,Três Corações,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Regular,Prefiro não responder
Docente,Machado,,,Concordo,Concordo,Concordo,Regular,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Docente,Muzambinho,,,Concordo,Concordo plenamente,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Muito bom,Ruim,Regulares
Docente,Três Corações,,,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Inconfidentes,,,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Poços de Caldas,2°,"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)",Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Não sei responder,Muito Bons/Boas,Bom,Não sei,Bom,Boas
Docente,Passos,,,Concordo plenamente,Concordo plenamente,Concordo,Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Boas
Discente do Superior,Machado,4°,Bacharelado Zootecnia,Concordo,Concordo,Discordo,Ruim,Ruim,Bons/Boas,Bom,Bom,Bom,Regulares
TAE,Machado,,,"Não concordo, nem discordo",Discordo,Não concordo nem discordo,Não sei responder,Não sei responder,Bons/Boas,Não sei,Não sei,Não sei,Regulares
TAE,Inconfidentes,,,Concordo plenamente,Não sei responder,Concordo plenamente,Não sei responder,Não sei responder,Não sei responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Não sei responder
TAE,Passos,,,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Boas
TAE,Muzambinho,,,Concordo plenamente,Concordo,Concordo plenamente,Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Bom,Não sei,Regulares
TAE,Machado,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Regular,Regulares,Bom,Bom,Regular,Regulares
TAE,Muzambinho,,,Concordo,Concordo plenamente,Concordo,Não sei responder,Boa,Regulares,Muito bom,Muito bom,Muito bom,Boas
Docente,Poços de Caldas,,,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
TAE,Inconfidentes,,,Concordo,Concordo,Concordo plenamente,Regular,Não sei responder,Muito Bons/Boas,Não sei,Bom,Não sei,Prefiro não responder
TAE,Machado,,,Concordo,Não sei responder,Concordo plenamente,Prefiro não responder,Prefiro não responder,Bons/Boas,Não sei,Bom,Não sei,Boas
TAE,Inconfidentes,,,Concordo,Não sei responder,Concordo,Não sei responder,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Machado,2°,Bacharelado Sistemas de Informação,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,4°,Bacharelado Sistemas de Informação,Discordo,Discordo plenamente,Discordo plenamente,Ruim,Muito ruim,Regulares,Bom,Não sei,Regular,Regulares
TAE,Poços de Caldas,,,Concordo plenamente,Não concordo nem discordo,Concordo,Regular,Não sei responder,Regulares,Bom,Regular,Ruim,Regulares
Docente,Carmo de Minas,,,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Machado,7°,Licenciatura Ciências Biológicas,Concordo,Concordo plenamente,Concordo,Regular,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
TAE,Machado,,,"Não concordo, nem discordo",Discordo,Concordo plenamente,Bom/Boa,Não sei responder,Bons/Boas,Bom,Bom,Ruim,Boas
Docente,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Prefiro não responder,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Bom,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Não concordo nem discordo,Não sei responder,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Muzambinho,1°,Técnico em Alimentos | Integrado,Discordo,Não concordo nem discordo,Concordo plenamente,Regular,Regular,Bons/Boas,Bom,Bom,Muito bom,Regulares
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Regular,Boa,Muito Bons/Boas,Bom,Regular,Muito bom,Regulares
Docente,Inconfidentes,,,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Não sei responder,Bons/Boas,Muito bom,Não sei,Não sei,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Prefiro não responder,Prefiro não responder,Ruim,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Concordo,Não sei responder,Não sei responder,Bom/Boa,Boa,Bons/Boas,Regular,Não sei,Não sei,Boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Prefiro não responder,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
TAE,Machado,,,Discordo plenamente,Discordo plenamente,Discordo plenamente,Não sei responder,Muito ruim,Não sei responder,Não sei,Não sei,Muito ruim,Muito ruins
Docente,Três Corações,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Muito bom,Bom,Boas
TAE,Carmo de Minas,,,Concordo,Discordo,Discordo,Não sei responder,Ruim,Muito Bons/Boas,Bom,Não sei,Não sei,Boas
TAE,Machado,,,Concordo,Não concordo nem discordo,Concordo,Não sei responder,Não sei responder,Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Muito boas
TAE,Muzambinho,,,Concordo plenamente,Discordo plenamente,Discordo plenamente,Muito Bom/Boa,Regular,Ruins,Bom,Não sei,Muito bom,Regulares
TAE,Machado,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Não sei responder,Não sei responder,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Química,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Muito bom,Regular,Regulares
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Química,Concordo plenamente,Concordo plenamente,Concordo plenamente,Ruim,Ruim,Bons/Boas,Não sei,Não sei,Bom,Regulares
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Química,Concordo plenamente,Concordo,Concordo,Regular,Regular,Bons/Boas,Regular,Não sei,Ruim,Regulares
Docente,Machado,,,Concordo plenamente,Concordo,Discordo,Regular,Regular,Bons/Boas,Muito bom,Muito bom,Bom,Regulares
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Química,Concordo,Concordo,Concordo,Regular,Ruim,Regulares,Regular,Regular,Regular,Regulares
Discente do Superior,Pouso Alegre,10°,Bacharelado Engenharia Química,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Ruim,Ruins,Bom,Bom,Bom,Boas
TAE,Machado,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Não sei responder,Bons/Boas,Muito bom,Bom,Não sei,Boas
Discente do Superior,Machado,4°,Bacharelado Zootecnia,"Não concordo, nem discordo",Concordo plenamente,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Química,Discordo,Não sei responder,Não sei responder,Regular,Muito ruim,Ruins,Ruim,Não sei,Não sei,Ruins
Discente do Superior,Pouso Alegre,10°,Bacharelado Engenharia Química,Concordo,Discordo,Discordo,Bom/Boa,Ruim,Muito ruins,Ruim,Ruim,Muito ruim,Regulares
Discente do Superior,Pouso Alegre,8°,Bacharelado Engenharia Química,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Regulares,Não sei,Não sei,Não sei,Ruins
Discente do Superior,Machado,10°,Bacharelado Zootecnia,Concordo,Concordo,Concordo,Regular,Regular,Bons/Boas,Bom,Bom,Bom,Prefiro não responder
Discente do Superior,Machado,4°,Bacharelado Zootecnia,Concordo,Discordo,Discordo,Ruim,Ruim,Regulares,Ruim,Regular,Ruim,Ruins
Discente do Técnico,Passos,3°,Técnico em Produção de Moda | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Muito ruim,Ruins,Muito ruim,Bom,Muito ruim,Ruins
Discente do Superior,Machado,10°,Licenciatura Ciências Biológicas,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Regular,Regular,Boas
Discente do Superior,Muzambinho,8°,Licenciatura Pedagogia EaD,Concordo,Não concordo nem discordo,Discordo,Bom/Boa,Boa,Muito Bons/Boas,Ruim,Não sei,Não sei,Muito boas
Discente do Superior,Machado,4°,Licenciatura Ciências Biológicas,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Regular,Prefiro não responder,Ruim,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Recursos Humanos - EaD | Subsequente,Concordo,Concordo,Discordo,Não se aplica,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Não sei responder
Docente,Passos,,,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Regular,Muito bom,Bom,Boas
Discente do Superior,Machado,10°,Bacharelado Ciência e Tecnologia de Alimentos,Concordo plenamente,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Docente,Machado,,,Concordo,Concordo,Concordo,Regular,Boa,Regulares,Muito bom,Bom,Ruim,Regulares
Discente do Técnico,Carmo de Minas,3°,Técnico em Recursos Humanos - EaD | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Machado,2°,Suporte e Manutenção de Computadores - EaD | Subsequente,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Bom,Muito bom,Muito boas
Discente do Técnico,Machado,3°  ,Técnico em Alimentos | Integrado,Discordo,Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Muito ruins,Muito ruim,Muito ruim,Muito ruim,Ruins
TAE,Machado,,,Concordo,Discordo,Concordo,Regular,Regular,Regulares,Regular,Regular,Regular,Regulares
TAE,Três Corações,,,Concordo,Concordo,Concordo,Ruim,Regular,Bons/Boas,Ruim,Regular,Regular,Boas
