Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Passos,1°  ,Técnico em Produção de Moda | Integrado,Concordo,Concordo,Não concordo nem discordo,Regular,Muito boa,Bons/Boas,Não sei,Bom,Bom,Regulares
Discente do Superior,Poços de Caldas,6°,Bacharelado Administração,Concordo,Discordo,Discordo,Muito Bom/Boa,Muito boa,Ruins,Regular,Ruim,Ruim,Boas
Docente,Passos,,,Concordo,Concordo,Discordo,Bom/Boa,Não sei responder,Regulares,Muito bom,Muito bom,Ruim,Prefiro não responder
Discente do Superior,Poços de Caldas,4°,"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)",Concordo,Concordo,Discordo,Ruim,Boa,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Passos,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Não sei,Regular,Regular,Não sei responder
Docente,Muzambinho,,,Concordo,Concordo,Não concordo nem discordo,Muito ruim,Muito ruim,Bons/Boas,Regular,Bom,Bom,Boas
Docente,Muzambinho,,,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Regular,Ruins,Bom,Bom,Bom,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Regular,Regular,Bons/Boas,Regular,Regular,Regular,Muito ruins
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Eletroeletrônica | Integrado,Concordo plenamente,Não concordo nem discordo,Discordo,Regular,Boa,Muito Bons/Boas,Muito bom,Muito bom,Bom,Boas
Docente,Carmo de Minas,,,Concordo,Discordo,Concordo,Muito Bom/Boa,Boa,Ruins,Bom,Regular,Bom,Boas
Discente do Técnico,Muzambinho,2°,Técnico em Agropecuária | Subsequente,Discordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
TAE,Muzambinho,,,Concordo plenamente,Concordo,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Machado,3°,Técnico em Administração | Subsequente,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Muito bom,Muito bom,Boas
Docente,Inconfidentes,,,Concordo,Discordo,Discordo,Bom/Boa,Regular,Ruins,Não sei,Bom,Regular,Regulares
Discente do Técnico,Inconfidentes,2°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo,Discordo,Muito ruim,Boa,Muito Bons/Boas,Não sei,Não sei,Muito ruim,Regulares
Discente do Superior,Machado,8°,Bacharelado Ciência e Tecnologia de Alimentos,Concordo,Concordo,Concordo,Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Bom,Bom,Boas
Docente,Poços de Caldas,,,Discordo,Não sei responder,Não sei responder,Regular,Não sei responder,Regulares,Não sei,Bom,Ruim,Regulares
Discente do Superior,Machado,8°,Bacharelado Administração,Discordo plenamente,Discordo plenamente,Discordo plenamente,Bom/Boa,Não sei responder,Bons/Boas,Regular,Não sei,Não sei,Muito ruins
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Regular,Regular,Ruim,Regulares
Discente do Técnico,Machado,2°,Enfermagem | Subsequente,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Regulares,Bom,Bom,Bom,Muito boas
Docente,Machado,,,Concordo plenamente,Concordo,Discordo,Bom/Boa,Regular,Muito Bons/Boas,Regular,Bom,Ruim,Boas
Discente do Superior,Machado,6°,Licenciatura Ciências Biológicas,Discordo plenamente,Discordo,Discordo,Regular,Regular,Ruins,Muito ruim,Muito ruim,Muito ruim,Regulares
Discente do Superior,Machado,2°,Bacharelado Sistemas de Informação,"Não concordo, nem discordo",Não concordo nem discordo,Não sei responder,Ruim,Ruim,Regulares,Muito ruim,Muito ruim,Ruim,Regulares
Discente do Técnico,Machado,2°,Enfermagem | Subsequente,Concordo,Concordo,Concordo,Muito Bom/Boa,Regular,Regulares,Bom,Bom,Bom,Boas
Discente do Técnico,Machado,2°,Enfermagem | Subsequente,Não sei responder,Não sei responder,Não sei responder,Bom/Boa,Regular,Bons/Boas,Ruim,Prefiro não responder,Prefiro não responder,Prefiro não responder
Discente do Superior,Machado,8°,Bacharelado Sistemas de Informação,Discordo,Discordo,Discordo,Regular,Regular,Bons/Boas,Muito ruim,Regular,Muito ruim,Regulares
Discente do Superior,Muzambinho,6°,Bacharelado Medicina Veterinária,Concordo,Discordo,Concordo plenamente,Muito Bom/Boa,Boa,Ruins,Muito bom,Não sei,Bom,Não sei responder
Discente do Técnico,Machado,1°  ,Técnico em Agropecuária | Integrado,Discordo plenamente,Concordo,Não concordo nem discordo,Muito ruim,Regular,Muito Bons/Boas,Muito bom,Regular,Bom,Regulares
Discente do Superior,Machado,2°,Bacharelado Sistemas de Informação,Concordo,Discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Regular,Ruim,Regular,Boas
